"","V1","V2"
"1",41,42
"2",42,43
"3",43,44
"4",44,54
"5",54,57
"6",57,1
"7",57,58
"8",58,2
"9",58,59
"10",59,3
"11",59,4
"12",54,55
"13",55,5
"14",55,56
"15",56,6
"16",56,7
"17",44,45
"18",45,53
"19",53,8
"20",53,9
"21",45,46
"22",46,10
"23",46,47
"24",47,11
"25",47,48
"26",48,49
"27",49,12
"28",49,50
"29",50,13
"30",50,14
"31",48,51
"32",51,52
"33",52,15
"34",52,16
"35",51,17
"36",43,60
"37",60,79
"38",79,18
"39",79,19
"40",60,61
"41",61,67
"42",67,71
"43",71,72
"44",72,20
"45",72,21
"46",71,73
"47",73,74
"48",74,22
"49",74,23
"50",73,75
"51",75,76
"52",76,24
"53",76,25
"54",75,77
"55",77,78
"56",78,26
"57",78,27
"58",77,28
"59",67,68
"60",68,69
"61",69,29
"62",69,30
"63",68,70
"64",70,31
"65",70,32
"66",61,62
"67",62,33
"68",62,63
"69",63,64
"70",64,65
"71",65,34
"72",65,35
"73",64,66
"74",66,36
"75",66,37
"76",63,38
"77",42,39
"78",41,40
